w1_a1.2,w1_a20.2,w1_a26.2,w1_a32.2,w1_a36.2,w1_a5.2,w1_a18.2,w1_a28.2,w1_a7.2,w1_a15.2,w1_a24.2,w1_a30.2,w1_a34.2,w1_a10.2,w1_a38.2
7.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,7.0,6.0,7.0,6.0,5.0,6.0
7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
4.0,3.0,4.0,2.0,4.0,4.0,1.0,6.0,,5.0,,6.0,,,3.0
7.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0
2.0,1.0,2.0,2.0,6.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0
6.0,4.0,6.0,6.0,4.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0
6.0,4.0,5.0,4.0,5.0,6.0,4.0,6.0,5.0,6.0,3.0,4.0,6.0,3.0,3.0
5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,7.0,6.0,5.0,4.0,5.0,3.0,4.0
7.0,4.0,5.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,7.0,7.0,4.0,7.0,7.0
7.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0
6.0,6.0,4.0,5.0,6.0,7.0,4.0,7.0,4.0,4.0,4.0,4.0,6.0,6.0,7.0
6.0,6.0,7.0,7.0,6.0,6.0,5.0,7.0,7.0,7.0,5.0,7.0,6.0,2.0,4.0
2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,6.0,1.0,2.0,2.0,2.0,6.0,2.0
6.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,7.0,5.0
7.0,5.0,5.0,6.0,7.0,6.0,5.0,6.0,6.0,5.0,7.0,7.0,5.0,4.0,6.0
5.0,4.0,6.0,6.0,4.0,5.0,4.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,4.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
6.0,3.0,4.0,4.0,5.0,6.0,5.0,4.0,6.0,7.0,6.0,7.0,6.0,5.0,7.0
6.0,6.0,5.0,5.0,5.0,6.0,3.0,4.0,6.0,5.0,6.0,5.0,5.0,1.0,3.0
,,,,,,,,,,,,,,
7.0,7.0,6.0,6.0,5.0,7.0,5.0,5.0,6.0,5.0,4.0,4.0,4.0,7.0,7.0
5.0,5.0,5.0,5.0,4.0,6.0,2.0,3.0,7.0,6.0,6.0,6.0,6.0,5.0,6.0
7.0,2.0,5.0,4.0,6.0,7.0,2.0,4.0,7.0,5.0,5.0,4.0,4.0,2.0,3.0
7.0,6.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,4.0,6.0,7.0,7.0,7.0
6.0,6.0,7.0,6.0,6.0,7.0,5.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0
2.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0
7.0,5.0,4.0,6.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,5.0,5.0,6.0,4.0
7.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0
7.0,6.0,7.0,7.0,6.0,6.0,5.0,6.0,5.0,7.0,5.0,6.0,6.0,5.0,7.0
6.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,6.0,4.0,5.0,5.0,5.0,4.0
7.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0
7.0,6.0,5.0,6.0,7.0,6.0,6.0,6.0,4.0,4.0,6.0,6.0,5.0,7.0,7.0
3.0,5.0,7.0,7.0,6.0,5.0,3.0,7.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0
6.0,2.0,1.0,4.0,6.0,4.0,1.0,2.0,7.0,7.0,2.0,7.0,7.0,2.0,3.0
7.0,5.0,4.0,5.0,6.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,6.0,3.0,4.0
7.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0
7.0,6.0,6.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0
6.0,4.0,6.0,6.0,6.0,6.0,4.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0
6.0,4.0,6.0,6.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,5.0
7.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0
2.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0
7.0,6.0,,7.0,4.0,7.0,6.0,7.0,6.0,4.0,6.0,5.0,5.0,7.0,7.0
,,,,,,,,,,,,,,
5.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0
6.0,4.0,6.0,6.0,6.0,6.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,6.0
7.0,4.0,7.0,6.0,6.0,6.0,5.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0
6.0,4.0,3.0,,5.0,4.0,2.0,5.0,6.0,6.0,5.0,5.0,5.0,2.0,3.0
6.0,4.0,4.0,4.0,4.0,5.0,2.0,4.0,5.0,4.0,4.0,5.0,4.0,1.0,2.0
7.0,6.0,7.0,7.0,6.0,7.0,7.0,4.0,6.0,7.0,6.0,7.0,6.0,1.0,7.0
4.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,7.0,3.0,5.0,6.0,4.0,4.0
7.0,6.0,7.0,5.0,6.0,6.0,6.0,5.0,6.0,7.0,6.0,7.0,6.0,2.0,4.0
2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0
7.0,6.0,6.0,6.0,6.0,7.0,4.0,7.0,6.0,6.0,6.0,7.0,6.0,3.0,6.0
6.0,5.0,4.0,4.0,6.0,6.0,4.0,7.0,7.0,6.0,5.0,5.0,5.0,3.0,5.0
7.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,7.0,7.0,4.0,6.0
6.0,7.0,5.0,7.0,6.0,7.0,5.0,7.0,7.0,7.0,5.0,6.0,6.0,6.0,4.0
7.0,5.0,5.0,6.0,5.0,7.0,5.0,5.0,6.0,2.0,6.0,6.0,5.0,4.0,6.0
2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,6.0,6.0,5.0,6.0,6.0,2.0,2.0
7.0,5.0,7.0,6.0,7.0,7.0,5.0,5.0,6.0,7.0,6.0,5.0,7.0,6.0,7.0
7.0,4.0,4.0,2.0,6.0,3.0,2.0,6.0,3.0,4.0,4.0,3.0,2.0,7.0,5.0
6.0,5.0,4.0,5.0,6.0,7.0,5.0,4.0,5.0,6.0,4.0,6.0,6.0,4.0,4.0
5.0,3.0,3.0,4.0,6.0,6.0,3.0,5.0,3.0,7.0,5.0,4.0,7.0,1.0,3.0
5.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,3.0
4.0,6.0,7.0,6.0,6.0,6.0,1.0,6.0,5.0,7.0,6.0,5.0,6.0,3.0,3.0
4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0
2.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,7.0,4.0,4.0,3.0,5.0,2.0,1.0
7.0,7.0,7.0,6.0,7.0,6.0,4.0,5.0,7.0,7.0,7.0,7.0,7.0,4.0,6.0
6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,3.0,7.0
3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0
7.0,7.0,6.0,7.0,4.0,7.0,2.0,3.0,7.0,,4.0,4.0,2.0,6.0,6.0
4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,7.0,7.0,6.0,5.0,6.0,4.0,6.0
6.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0
6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,5.0,4.0,3.0,5.0,7.0,7.0
6.0,5.0,4.0,5.0,6.0,6.0,4.0,5.0,6.0,5.0,6.0,6.0,5.0,3.0,5.0
6.0,7.0,6.0,6.0,6.0,6.0,5.0,6.0,7.0,6.0,6.0,,6.0,6.0,6.0
4.0,4.0,4.0,6.0,2.0,7.0,3.0,6.0,6.0,3.0,4.0,4.0,4.0,3.0,4.0
7.0,6.0,6.0,6.0,7.0,7.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,7.0,7.0
6.0,6.0,3.0,2.0,6.0,6.0,4.0,6.0,5.0,5.0,4.0,4.0,4.0,2.0,3.0
7.0,5.0,6.0,6.0,6.0,6.0,4.0,6.0,4.0,6.0,6.0,6.0,6.0,4.0,6.0
6.0,5.0,5.0,6.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,6.0,7.0,6.0
4.0,4.0,3.0,7.0,4.0,6.0,2.0,3.0,2.0,7.0,2.0,2.0,5.0,5.0,3.0
7.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,,6.0,7.0,7.0,6.0,1.0,7.0
5.0,2.0,3.0,5.0,3.0,5.0,2.0,5.0,6.0,4.0,5.0,5.0,5.0,1.0,4.0
7.0,6.0,7.0,5.0,6.0,7.0,7.0,1.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0
7.0,6.0,6.0,6.0,5.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,5.0,2.0,3.0
3.0,4.0,7.0,5.0,,3.0,2.0,1.0,4.0,2.0,3.0,3.0,2.0,1.0,3.0
7.0,7.0,7.0,7.0,4.0,6.0,6.0,7.0,7.0,7.0,4.0,4.0,6.0,4.0,6.0
7.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0
7.0,5.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2.0,2.0,6.0,6.0,2.0,3.0,2.0,2.0,6.0,4.0,1.0,2.0,2.0,6.0,4.0
6.0,5.0,6.0,6.0,4.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0
7.0,6.0,4.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0
7.0,6.0,5.0,5.0,5.0,7.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0
7.0,6.0,6.0,5.0,7.0,7.0,7.0,2.0,6.0,5.0,6.0,6.0,6.0,6.0,3.0
2.0,5.0,7.0,6.0,1.0,2.0,5.0,6.0,6.0,4.0,5.0,6.0,5.0,6.0,7.0
6.0,5.0,6.0,7.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,7.0,6.0
7.0,5.0,6.0,6.0,6.0,6.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0
7.0,5.0,6.0,6.0,5.0,7.0,3.0,7.0,6.0,3.0,3.0,2.0,4.0,6.0,6.0
7.0,5.0,5.0,6.0,6.0,6.0,2.0,5.0,7.0,6.0,6.0,6.0,6.0,4.0,3.0
7.0,5.0,7.0,6.0,7.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0
6.0,4.0,5.0,7.0,5.0,6.0,4.0,6.0,5.0,2.0,4.0,4.0,4.0,4.0,6.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0
4.0,4.0,4.0,1.0,5.0,4.0,1.0,1.0,1.0,7.0,7.0,4.0,4.0,1.0,1.0
7.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,4.0
7.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,3.0,6.0
6.0,4.0,2.0,5.0,6.0,6.0,4.0,4.0,5.0,5.0,6.0,6.0,3.0,2.0,4.0
7.0,5.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,3.0
6.0,4.0,4.0,6.0,6.0,6.0,4.0,4.0,6.0,5.0,4.0,6.0,5.0,6.0,7.0
6.0,4.0,3.0,5.0,4.0,6.0,3.0,4.0,6.0,5.0,4.0,4.0,5.0,5.0,6.0
6.0,4.0,6.0,6.0,6.0,6.0,4.0,4.0,5.0,6.0,4.0,5.0,6.0,4.0,6.0
5.0,4.0,3.0,3.0,6.0,5.0,2.0,3.0,4.0,4.0,2.0,3.0,4.0,1.0,5.0
7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,5.0,6.0
3.0,3.0,6.0,5.0,4.0,3.0,3.0,5.0,2.0,2.0,2.0,2.0,3.0,6.0,6.0
6.0,6.0,6.0,6.0,2.0,6.0,4.0,6.0,5.0,3.0,4.0,4.0,4.0,6.0,6.0
7.0,5.0,7.0,7.0,7.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,4.0
6.0,2.0,2.0,4.0,5.0,5.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,3.0,3.0
7.0,5.0,7.0,7.0,7.0,7.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,1.0,7.0
7.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0
6.0,4.0,5.0,3.0,6.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,6.0,6.0
7.0,4.0,6.0,7.0,5.0,6.0,3.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0
6.0,4.0,5.0,6.0,3.0,6.0,3.0,4.0,7.0,4.0,5.0,5.0,5.0,6.0,6.0
6.0,5.0,6.0,6.0,5.0,7.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0
2.0,2.0,3.0,6.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,,6.0,3.0
6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,5.0,6.0
7.0,5.0,5.0,5.0,4.0,7.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
7.0,6.0,7.0,6.0,7.0,7.0,3.0,7.0,7.0,7.0,6.0,6.0,6.0,4.0,6.0
7.0,1.0,1.0,7.0,7.0,6.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0
7.0,6.0,7.0,7.0,7.0,7.0,5.0,6.0,7.0,7.0,6.0,7.0,7.0,4.0,6.0
7.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,7.0
7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,3.0,7.0
6.0,4.0,4.0,6.0,6.0,6.0,3.0,6.0,6.0,2.0,5.0,5.0,3.0,6.0,7.0
4.0,1.0,1.0,7.0,1.0,4.0,1.0,1.0,5.0,2.0,4.0,2.0,1.0,2.0,3.0
6.0,5.0,5.0,6.0,5.0,6.0,1.0,5.0,5.0,3.0,2.0,4.0,2.0,4.0,6.0
6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0
6.0,5.0,5.0,5.0,4.0,6.0,3.0,3.0,6.0,4.0,6.0,6.0,5.0,3.0,5.0
2.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,1.0,2.0,3.0,2.0,1.0,1.0
6.0,4.0,5.0,6.0,3.0,5.0,2.0,5.0,6.0,6.0,3.0,3.0,6.0,6.0,5.0
4.0,1.0,2.0,4.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,6.0
6.0,5.0,7.0,6.0,6.0,7.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0
7.0,4.0,4.0,4.0,6.0,5.0,4.0,4.0,7.0,4.0,6.0,6.0,1.0,1.0,4.0
7.0,4.0,7.0,6.0,6.0,7.0,6.0,7.0,5.0,5.0,5.0,5.0,6.0,3.0,4.0
4.0,6.0,3.0,3.0,7.0,7.0,6.0,6.0,3.0,2.0,3.0,3.0,3.0,5.0,7.0
6.0,1.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,2.0,1.0,1.0
7.0,7.0,6.0,7.0,6.0,7.0,5.0,2.0,6.0,5.0,6.0,7.0,5.0,3.0,5.0
6.0,4.0,4.0,4.0,6.0,5.0,2.0,1.0,4.0,6.0,5.0,4.0,6.0,2.0,4.0
7.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0,7.0
3.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,6.0,2.0,2.0,4.0,3.0,4.0
7.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0
3.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0
7.0,5.0,4.0,4.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0
7.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0
4.0,2.0,4.0,5.0,5.0,4.0,1.0,4.0,6.0,6.0,5.0,5.0,5.0,4.0,3.0
7.0,5.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0
7.0,7.0,7.0,7.0,5.0,7.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,5.0,7.0
6.0,6.0,7.0,7.0,6.0,7.0,4.0,4.0,7.0,5.0,4.0,6.0,5.0,4.0,4.0
,,,,,,,,,,,,,,
7.0,4.0,6.0,6.0,4.0,6.0,6.0,2.0,4.0,6.0,7.0,6.0,6.0,4.0,6.0
7.0,6.0,6.0,5.0,6.0,7.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0
6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
5.0,3.0,5.0,6.0,6.0,6.0,3.0,5.0,7.0,7.0,4.0,5.0,7.0,3.0,6.0
6.0,6.0,6.0,5.0,6.0,6.0,4.0,5.0,4.0,6.0,6.0,6.0,5.0,6.0,6.0
7.0,5.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,7.0,5.0,6.0,4.0
,,,,,,,,,,,,,,
6.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,5.0,2.0,4.0,3.0,2.0,4.0,6.0
7.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0
7.0,6.0,6.0,7.0,6.0,7.0,6.0,5.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0
4.0,4.0,6.0,6.0,4.0,4.0,4.0,6.0,4.0,6.0,4.0,4.0,6.0,7.0,5.0
5.0,7.0,7.0,7.0,4.0,5.0,5.0,6.0,7.0,5.0,5.0,5.0,2.0,7.0,7.0
6.0,6.0,6.0,6.0,5.0,6.0,4.0,4.0,6.0,6.0,4.0,4.0,4.0,3.0,3.0
6.0,5.0,4.0,6.0,5.0,7.0,7.0,6.0,7.0,4.0,4.0,5.0,4.0,7.0,6.0
6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0
6.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0
6.0,4.0,4.0,4.0,3.0,6.0,4.0,4.0,5.0,2.0,3.0,2.0,3.0,3.0,3.0
7.0,6.0,6.0,7.0,6.0,6.0,4.0,4.0,7.0,4.0,6.0,6.0,4.0,6.0,6.0
7.0,6.0,6.0,6.0,7.0,6.0,6.0,2.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0
6.0,4.0,5.0,4.0,4.0,6.0,4.0,6.0,6.0,6.0,5.0,6.0,6.0,3.0,7.0
6.0,5.0,4.0,6.0,6.0,6.0,3.0,5.0,6.0,6.0,6.0,6.0,6.0,2.0,4.0
7.0,6.0,5.0,5.0,3.0,6.0,4.0,2.0,6.0,7.0,,,,3.0,3.0
